"Individual","Treatment","Timepoint","Magnification","Image","Nuclei_Count","Mean_of_Mean","Mean_of_Median","Mean_of_Max","Mean_Percent_Red_Positive","Mean_Red_Positive_Pixels"
"Ind4","DMSO","144R","10X","DMSO_144R_75_EMP_10X_RGB_0003_DAPI",472,14.22,11.5933014354067,33.3349282296651,20.4903349282297,37.3253588516746
"Ind4","DMSO","144R","10X","DMSO_144R_75_EMP_10X_RGB_0004_DAPI",212,13.8262613636364,11.5681818181818,31.1136363636364,9.42514772727273,17.0340909090909
"Ind4","DMSO","144R","10X","DMSO_144R_75_EMP_10X_RGB_0005_DAPI",492,15.056230125523,10.9539748953975,37.2761506276151,22.6350711297071,41.6485355648536
"Ind4","DMSO","144R","10X","DMSO_144R_75_EMP_10X_RGB_0011_DAPI",215,17.6045853658537,10.1219512195122,54.6341463414634,30.7368048780488,64.1463414634146
"Ind4","DMSO","144R","10X","DMSO_144Rd_75_EMP_10X_RGB_0001_DAPI",215,17.6045853658537,10.1219512195122,54.6341463414634,30.7368048780488,64.1463414634146
"Ind4","DMSO","144R","10X","DMSO_144Rd_75_EMP_10X_RGB_0002_DAPI",116,20.7817878787879,14.6363636363636,53.4545454545455,21.7483939393939,31.8484848484848
"Ind4","DMSO","144R","10X","DMSO_144Rd_75_EMP_10X_RGB_0003_DAPI",304,15.8224916666667,10.675,43.4166666666667,23.9449416666667,59.1583333333333
"Ind4","DMSO","144R","10X","DMSO_144Rd_75_EMP_10X_RGB_0004_DAPI",121,14.6951304347826,12.3913043478261,44.3695652173913,9.82695652173913,30.5
"Ind4","DMSO","144R","10X","DMSO_144Rd_75_EMP_10X_RGB_0005_DAPI",185,14.8518,11.64,36.8933333333333,12.9581866666667,31.6
"Ind4","DMSO","144R","10X","DMSO_144Rd_75_EMP_10X_RGB_0011_DAPI",228,15.1182333333333,13.9,37.2666666666667,3.3915,1.7
"Ind4","DMSO","144R","10X","DMSO_144Rd_75_EMP_10X_RGB_0012_DAPI",228,15.1182333333333,13.9,37.2666666666667,3.3915,1.7
"Ind4","DMSO","144R","20X","DMSO_144R_75_EMP_20X_RGB_0006_DAPI",175,14.9957430555556,11.0347222222222,40.1041666666667,68.1957916666667,181.888888888889
"Ind4","DMSO","144R","20X","DMSO_144R_75_EMP_20X_RGB_0007_DAPI",154,14.49196875,10.703125,41.7421875,38.1797734375,133.5078125
"Ind4","DMSO","144R","20X","DMSO_144R_75_EMP_20X_RGB_0008_DAPI",69,13.0159636363636,9.81818181818182,36.2909090909091,26.5591090909091,215.709090909091
"Ind4","DMSO","144R","20X","DMSO_144R_75_EMP_20X_RGB_0009_DAPI",135,13.3591517857143,10.0803571428571,35.3125,42.4110892857143,135.482142857143
"Ind4","DMSO","144R","20X","DMSO_144R_75_EMP_20X_RGB_0010_DAPI",62,14.0287916666667,9.20833333333333,55.625,27.6866458333333,100.583333333333
"Ind4","DMSO","144R","20X","DMSO_144Rd_75_EMP_20X_RGB_0006_DAPI",24,11.6810666666667,8.8,50.1333333333333,44.9093333333333,173.266666666667
"Ind4","DMSO","144R","20X","DMSO_144Rd_75_EMP_20X_RGB_0007_DAPI",20,14.7595789473684,9.1578947368421,70.2105263157895,130.141473684211,661.578947368421
"Ind4","DMSO","144R","20X","DMSO_144Rd_75_EMP_20X_RGB_0008_DAPI",45,10.8171,8.7,34.3,0.815033333333333,3.63333333333333
"Ind4","DMSO","144R","20X","DMSO_144Rd_75_EMP_20X_RGB_0009_DAPI",72,16.58485,10.375,68.125,72.937975,134.45
"Ind4","DMSO","144R","20X","DMSO_144Rd_75_EMP_20X_RGB_0010_DAPI",114,15.8226504854369,10.5339805825243,45.8834951456311,62.6830485436893,312.116504854369
